name,korean_name,gender,card,alignment,play_style,sub_styles,claimed_styles,birth_date,note,finisher_ko,signature,signature_ko
Brad Baylor,브래드 베일러,male,mid,heel,technician,heel_style,,2004-11-08,생년월일 없음 — 중앙값 32세로 대체 중,탑 로프 엘보우 | 슬리퍼 홀드,Scoop Powerslam | Spinebuster,스쿱 파워슬램 | 스파인버스터
Bronco Nima,브롱코 니마,male,mid,tweener,powerhouse,,,2001-12-12,,더블 점프 슬램,Powerslam,파워슬램
Brooks Jensen,브룩스 젠슨,male,low,heel,hard_hitting,,,2001-08-21,,래리어트 | 다이빙 니 드롭,Brainbuster | Spinning Heel Kick,브레인버스터 | 스피닝 힐 킥
"Channing ""Stacks"" Lorenzo",채닝 로렌조,male,mid,heel,all_rounder,,,1997-03-03,,시멘트 슈즈,Spinebuster | Swinging Neckbreaker,스파인 버스터 | 스윙잉 넥브레이커
Charlie Dempsey,찰리 뎀프시,male,mid,heel,technician,submissions,,1996-12-30,,리걸 스트레치 | 크로스페이스 치킨 윙 | 리버스 보우 앤 애로우 스트레치,Regal Plex | Dragon Suplex,리걸 플렉스 | 드래곤 수플렉스
Cruz Montana,크루즈 몬타나,male,upper,face,all_rounder,,,1991-02-04,,프로그 스플래시 | 스핀 더 블록,Alley Oop | Liger Bomb | O.I.C | Rolling Buck Fifty,앨리 웁 | 라이거 밤 | O.I.C | 롤링 벅 피프티
Cutler James,커틀러 제임스,male,mid,heel,technician,,,2000-11-16,,커틀러 커터,Bodyslam | Hip Toss,바디 슬램 | 힙 토스
Dion Lennox,디온 레녹스,male,mid,heel,powerhouse,,,1998-01-16,,에메랄드 플로우션,Suplex Powerslam | Spinebuster | Slingshot Sitout Powerbomb,수플렉스 파워슬램 | 스파인버스터 | 슬링샷 싯아웃 파워밤
Dorian Van Dux,도리안 반 덕스,male,mid,face,powerhouse,,,1996-05-07,,슈팅 스타 프레스,Corner Springboard Cutter | Standing Moonsault,코너 스프링보드 커터 | 스탠딩 문설트
EK Prosper,EK 프로스퍼,male,mid,face,high_flyer,,,2001-08-15,생년월일 없음 — 중앙값 32세로 대체 중,문설트,Dropkick | Enzuigiri | Asai Moonsault,드롭킥 | 엔즈이기리 | 아사이 문설트
Elio LeFleur,엘리오 르플뢰르,male,low,face,technician,high_flyer,,1999-02-19,,450 스플래시,Moonsault to the Outside,문설트 투 디 아웃사이드
Hank Walker,행크 워커,male,low,face,brawler,powerhouse,,1998-06-11,,바디 스플래시,Bossman Slam,보스맨 슬램
Jackson Drake,잭슨 드레이크,male,mid,heel,technician,,,2003-08-30,생년월일 없음 — 중앙값 32세로 대체 중,450 스플래시 | 드레이크스 랜딩,Lethal InJacktion | Crown of Dirt,리썰 인잭션 | 크라운 오브 더트
Jasper Troy,재스퍼 트로이,male,low,face,powerhouse,,,1998-05-20,,블랙홀 슬램,Snakes Eyes | Sidewalk Slam | Powerslam,스네이크 아이스 | 사이드워크 슬램 | 파워슬램
Josh Briggs,조쉬 브릭스,male,mid,heel,powerhouse,all_rounder,,1993-03-05,,M6 | 미트 유어 메이커,Running Lariat | Moonsault,러닝 래리어트 | 문설트
Kam Hendrix,캠 헨드릭스,male,mid,heel,brawler,heel_style,,1996-11-11,,"라이츠,카메라,액션",Dragon Screw Legwhip | Powerslam,드래곤 스크류 레그휩 | 파워슬램
Keanu Carver,키아누 카버,male,mid,heel,powerhouse,,,1998-12-22,생년월일 없음 — 중앙값 32세로 대체 중,트위스팅 파워슬램,Fallaway Slam | Falling Powerslam | Lifting Spinebuster | The Pounce,폴어웨이 슬램 | 폴링 파워슬램 | 리프팅 스파인버스터 | 더 파운스
Lexis King,렉시스 킹,male,mid,heel,all_rounder,,,1993-09-09,,코로네이션,Drop Kick | Super Kick | Fisherman's Driver,드롭킥 | 슈퍼킥 | 피셔맨 드라이버
Lince Dorado,린세 도라도,male,low,face,lucha_libre,technician,,1987-05-11,,골든 리와인드,Brainbuster | Diving Crossbody | Moonsault | Corkscrew Somersault Leg Drop,브레인버스터 | 다이빙 크로스바디 | 문설트 | 코크스크류 섬머솔트 레그 드롭
Lucien Price,루시엔 프라이스,male,mid,face,powerhouse,,,1997-01-12,,슬램 덩크,Powerbomb | Clothesline | Spinebuster,파워밤 | 클로스라인 | 스파인버스터
Mason Rook,메이슨 룩,male,mid,face,giant,all_rounder,,1996-10-28,,크루스피케이션 | 크루스 설트,Mullet Bomb | Death Twist | Cider Press | French Toast | Cannonball,물렛 밤 | 데스 트위스트 | 사이다 프레스 | 프렌치 토스트 | 캐논볼
Myles Borne,마일스 본,male,mid,face,technician,all_rounder,,1999-05-25,,본 어게인,Scoop Powerslam | Drop Kick | Northern Lights Suplex,스쿱 파워슬램 | 드롭킥 | 노턴 라이츠 수플렉스
NARAKU,나라쿠,male,upper,heel,showman,heel_style,,1987-01-26,,엔터 디 어비스,Lariat | Suplex | Fishermanbuster | Darkness Falls,래리어트 | 수플렉스 | 피셔맨버스터 | 다크니스 폴즈
Niko Vance,니코 밴스,male,low,heel,powerhouse,,,1999-01-15,,히든 블레이드,Flying Headbutt | Clothesline,플라잉 헤드벗 | 클로스라인
Noam Dar,노암 다르,male,mid,face,technician,submissions,,1993-07-28,,샴페인 슈퍼니바 | 노바 롤러,Diving European Uppercut | Running Corner Drop | Suicide Dive | Dragon Screw Legwhip,다이빙 유로피안 어퍼컷 | 러닝 코너 드롭 | 수어사이드 다이브 | 드래곤 스크류 레그휩
Osiris Griffin,오시리스 그리핀,male,mid,heel,powerhouse,,,1997-12-25,,라그나로크,Powerslam,파워슬램
Ricky Smokes,리키 스모크스,male,mid,heel,all_rounder,,,2000-04-28,생년월일 없음 — 중앙값 32세로 대체 중,원 히터,Mushroom Stomp | Powerbomb | Brainbuster,머시룸 스톰프 | 파워밤 | 브레인 버스터
Romeo Moreno,로메오 모레노,male,mid,face,all_rounder,technician,,2002-07-11,,데스 밸리 드라이버 | 문설트,Missile Drop Kick | Diving Double Foot Stomp,미사일 드롭킥 | 다이빙 더블 풋 스톰프
Saquon Shugars,세이콴 슈거스,male,mid,face,high_flyer,,,2000-04-30,,엘리베이터 | 파클랜드 플런지,Spin Da Block | Snowbunny Splash,스핀 다 블록 | 스노우버니 스플래시
Sean Legacy,숀 레거시,male,mid,face,high_flyer,,,1995-11-28,,샴블스,450 Splash | Snap Powerslam | Diving Crossbody,450 스플래시 | 스냅 파워슬램 | 다이빙 크로스바디
Shawn Spears,숀 스피어스,male,low,face,technician,,,1981-02-19,,C4,Lariat | Superplex | Hangman's Neckbreaker,래리어트 | 슈퍼플렉스 | 행맨스 넥브레이커
Shiloh Hill,샤일로 힐,male,low,face,technician,all_rounder,,1999-02-04,,위스퍼 오브 더 비스트,Running Jumping Big Boot | Shoulder Block | Chokeslam,러닝 점핑 빅 붓 | 숄더 블록 | 초크슬램
Tank Ledger,탱크 레저,male,low,face,powerhouse,,,1999-10-11,,러닝 파워슬램,Slingshot Splash | Running Splash | Exploder Suplex,슬링샷 스플래시 | 러닝 스플래시 | 익스플로이더 수플렉스
Tate Wilder,테이트 와일더,male,low,face,technician,brawler,,1997-09-06,원본 CSV의 19997-09-06은 다섯 자리 연도 오타,와일드 라이드,Twisting Suplex | Frog Splash,트위스팅 수플렉스 | 프로그 스플래시
Tavion Heights,테비언 하이츠,male,mid,face,technician,strong_style,,1997-07-27,,하이츠 오브 글로리,Gutwrench Suplex | German Suplex | Capture Suplex | Inverted Powerbomb,것렌치 수플렉스 | 저먼 수플렉스 | 캡처 수플렉스 | 인버티드 파워밤
Tony D'Angelo,토니 디안젤로,male,upper,face,brawler,heel_style,,1995-06-09,,데드 투 라이츠 | 포겟 어바웃 잇,Flying Back Elbow | Northern Lights Suplex | Short-arm Clothesline | Spinebuster,플라잉 백 엘보우 | 노던 라이츠 수플렉스 | 쇼트-암 클로스라인 | 스파인버스터
Tristan Angels,트리스탄 앤젤스,male,mid,heel,all_rounder,technician,,2003-06-09,,니 드롭 불독,Back Breaker | Rope-Hung Double Foot Stomp,백브레이커 | 로프-헝 더블 풋 스톰프
Uriah Connors,유라이어 코너스,male,mid,heel,brawler,,,2002-08-06,,릴리저스 엑셈션,Spin-out Powerbomb | Drop Kick | Super Kick,스핀아웃 파워밤 | 드롭킥 | 슈퍼킥
Zilla Fatu,질라 파투,male,upper,heel,powerhouse,brawler,,1999-09-09,,트리플 Z,Samoan Drop | Top-Rope Splash,사모안 드롭 | 탑 로프 스플래시
Adriana Rizzo,애드리아나 리조,female,low,face,technician,,,1998-12-26,,테이스트 오브 리조또,Drop Kick | Diving Crossbody,드롭킥 | 다이빙 크로스바디
Arianna Grace,아리아나 그레이스,female,mid,heel,showman,heel_style,,1995-06-29,,그레이스랜드 | 샤이닝 위자드,Armbar | Over The Shoulder Facebuster,암바 | 오버 더 숄더 페이스버스터
Izzi Dame,이지 데임,female,mid,heel,powerhouse,brawler,,1999-07-13,,아이 드라이브 | 빅 붓,Falcon Arrow | Fireman's Carry Flapjack,팔콘 애로우 | 파이어맨스 캐리 플랩잭
Jaida Parker,제이다 파커,female,mid,face,strong_style,brawler,,1999-02-12,,힙노틱 | 데자뷰,Tear Drop | Full Nelson Slam | Sleeper Hold | Spinebuster,티어 드롭 | 풀 넬슨 슬램 | 슬리퍼 홀드 | 스파인버스터
Kali Armstrong,칼리 암스트롱,female,mid,heel,powerhouse,,,1994-07-06,,칼리 커넥션,Oklahoma Stampede | Chinlock | Rear Naked Choke,오클라호마 스탬피드 | 친락 | 리어 네이키드 초크
Karmen Petrovic,카르멘 페트로비치,female,mid,heel,technician,,,1995-10-29,,페트리파이어 | 사일런트 슬라이스,Headscissors Takedown | Corkscrew Roundhouse Kick | Discus Clothesline,헤드시져스 테이크다운 | 코크스크류 라운드하우스 킥 | 디스커스 클로스라인
Kelani Jordan,켈라니 조던,female,upper,heel,high_flyer,,,1998-10-22,,원 오브 어 카인드,Springboard Crossbody | Springboard Hurricanrana | Rope Assisted Arm Drag,스프링보드 크로스바디 | 스프링보드 허리케인라나 | 로프 어시스티드 암 드래그
Kendal Grey,켄달 그레이,female,upper,face,technician,,,2001-06-15,,쉐이즈 오브 그레이 | 그레이 에어리어,Flying Arm Bar | Exploder Suplex | Ankle Lock,플라잉 암바 | 익스플로이더 수플렉스 | 앵클 락
Layla Diggs,레일라 딕스,female,low,heel,high_flyer,,,1998-10-05,생년월일 없음 — 중앙값 32세로 대체 중,디기티 스플릿 | 문설트,Scissors Kick | Spinning Heel Kick | Side Bicycle Kick,시저스 킥 | 스피닝 힐 킥 | 사이드 바이시클 킥
Lizzy Rain,리지 레인,female,mid,face,all_rounder,,,1998-01-12,,썬더스트럭 | 더 스톰스 엔드,Inverted DDT | Running European Uppercut | Diving Knee Strike,인버티드 DDT | 러닝 유로피안 어퍼컷 | 다이빙 니 스트라이크
Lola Vice,롤라 바이스,female,upper,face,technician,strong_style,,1998-07-19,,우라켄 | 스피닝 백 킥,Gogoplata | Runnning Hip Attack | Sole Kick,고고플라타 | 러닝 힙 어택 | 솔 킥
Myka Lockwood,마이카 락우드,female,low,heel,powerhouse,,,2001-06-07,,브레인 클로 | 더블 펌프핸들 인투 어 폴링 파워슬램,Powerbomb | Big Boot,파워밤 | 빅 붓
Nikkita Lyons,니키타 라이온스,female,mid,heel,shooter,powerhouse,,1999-08-05,,스플릿-레그드 레그 드롭 | 라이온스 로어,Tornado Kick | Missile Drop Kick | Corner Forearm Smash,토네이도 킥 | 미사일 드롭킥 | 코너 포어암 스매시
Reina Volcán,레이나 볼칸,female,mid,heel,powerhouse,monster|heel_style,,1997-01-28,,내추럴 디재스터 | 볼케이노 밤,Military Press Drop | Elbow Drop | Scoop Powerslam | Sitout Powerbomb,밀러터리 프레스 드롭 | 엘보우 드롭 | 스쿱 파워슬램 | 싯아웃 파워밤
Skylar Raye,스카일라 레이,female,low,face,high_flyer,,,2001-06-30,,더 슈팅 스타,Diving Crossbody,다이빙 크로스바디
Thea Hail,티아 헤일,female,mid,face,high_flyer,all_rounder,,2003-09-09,,키무라 락 | 행맨스 페이스버스터,Tilt A Whirl DDT | Springboard Back Senton | Headbutt,틸트 어 휠 DDT | 스프링보드 백 센턴 | 헤드 벗
Wendy Choo,웬디 추,female,low,face,high_flyer,submissions,,1992-01-18,,코브라 클러치 | 풀 넬슨 슬램,Moonsault | Exploder Suplex,문설트 | 익스플로이더 수플렉스
Wren Sinclair,렌 싱클레어,female,mid,face,technician,submissions,,1995-05-25,,파이널 렌치 | 헤드락 드라이버,Bow and Arrow | Sitout Facebuster | Scissors Kick,보우 앤 애로우 | 싯아웃 페이스버스터 | 시저스 킥
Zaria,자리아,female,mid,heel,powerhouse,,,1999-05-11,,F6,Spear | Powerbomb | German Suplex,스피어 | 파워밤 | 저먼 수플렉스
Grayson Waller,그레이슨 월러,male,upper,heel,all_rounder,heel_style,,1990-03-21,,롤링 썬더 플랫라이너,Rolling Thunder Stunner,롤링 썬더 스터너
Nattie,내티 | 나탈리아,female,mid,heel,technician,submissions|powerhouse|brawler,,1982-05-27,,샤프슈터,Nattie-By-Nature | Pin-Up Strong,내티-바이-네이처 | 핀-업 스트롱
Aaron Rourke,아론 루크,male,mid,face,all_rounder,,,1995-12-01,,몰리-고-라운드 | 크래들 DDT,Figure Four Leglock,피겨 포 레그락
Braxton Cole,브랙스턴 콜,male,low,,technician,heel_style,,2000-04-17,생년월일 없음 — 중앙값 32세로 대체 중,러닝 찹 블록,Argentine Leglock,아르젠틴 레그락
Cappuccino Jones,카푸치노 존스,male,low,,showman,technician,,2002-08-16,,프로기 브루 | 디카페이네이터,Double Shot | Caramel Latte Leg Drop | Expresso Lariat | Macchiato Driver | A Shot Of Espresso,더블 샷 | 카라멜 라떼 레그 드롭 | 엑스프레소 래리어트 | 마키아또 드라이버 | 어 샷 오브 에스프레소
Elijah Holyfield,일라이자 홀리필드,male,low,,powerhouse,hard_hitting,,1997-11-30,,디 어퍼컷,Thumbs-Down Taunt | Spinebuster | Stinger Splash,썸스 다운 타운트 | 스파인버스터 | 스팅어 스플래시
Harlem Lewis,할렘 루이스,male,low,,powerhouse,,,2000-06-11,,더 붐 슬랭,Gorilla Press Drop | Crucifix Armbar | Lariat | Drop Kick,고릴라 프레스 드롭 | 크루시픽스 암바 | 래리어트 | 드롭킥
It's GAL,잇츠 갤,male,low,,powerhouse,,,2002-01-28,,메디테라니안 스플래시 | 스피어,Flapjack | Back Body Drop | Suicide Dive,플랩잭 | 백 바디 드롭 | 수어사이드 다이브
Jax Preslay,잭스 프레슬리,male,low,,powerhouse,,,1999-10-20,,,,
Starboy Charlie,스타보이 찰리,male,low,,high_flyer,,,2003-02-05,,슈팅 스타 프레스,450 Splash | Cosmic Cutter | Cosmic Swirl,450 스플래시 | 코스믹 커터 | 코스믹 스월
Aria Bennett,아리아 베넷,female,low,,technician,,,1995-05-26,,,,
Chantel Monroe,샨텔 먼로,female,low,,heel_style,technician,,2000-01-10,,더 퍼펙트 엔딩,Inverted Tornado DDT | Forward Falling F-5 | Super Kick,인버티드 토네이도 DDT | 포워드 폴링 F-5 | 슈퍼킥
PJ Vasa,PJ 바사,female,low,,powerhouse,brawler,,1999-04-??,Evolve 여성부 — 알파벳 되감김과 실명(Penina Tuilaepa)이 함께 가리킨다,,,
Zena Sterling,제나 스털링,female,low,,technician,,,2004-02-18,,,,
Kale Dixon,케일 딕슨,male,low,,technician,,,1998-05-04,,리프팅 리버스 STO,Reverse Gutwrench Suplex,리버스 것렌치 수플렉스
